pregunta,categoria,dificultad,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correctas
"Segun el modulo de Gestion del Cambio, la cultura de procesos es:",Modulo 6: Gestion del Cambio,Media,"El resultado de gestionar bien la politica, el comite, la metodologia y las herramientas",Un paso mas dentro de los 7 pasos de la gestion por procesos,Un documento que se aprueba al inicio del proyecto,Una herramienta de software para diagramar procesos,,A
"Segun el modulo, los ""dolores"" que viven los gestores de procesos (areas que no apoyan, ven todo como burocracia) son sintoma de:",Modulo 6: Gestion del Cambio,Media,"Un cambio no gestionado, no de personas dificiles",Personas que simplemente no quieren trabajar,Un exceso de presupuesto en el area de calidad,Demasiada tecnologia en la organizacion,,A
El Change Management aplicado a procesos se trabaja en dos dimensiones:,Modulo 6: Gestion del Cambio,Media,Process Change Management y Human Change Management,Marketing Change y Sales Change,Cambio financiero y cambio legal,Cambio interno y cambio externo,,A
¿Que documentan las Fichas KCI (Key Change Indicators)?,Modulo 6: Gestion del Cambio,Dificil,"Cada brecha entre el estado As-Is y el To-Be, su impacto y la estrategia de cierre",El presupuesto anual del area de calidad,La lista de clientes de la organizacion,El organigrama de la empresa,,A
"En el analisis de brechas, los estados As-Is y To-Be representan:",Modulo 6: Gestion del Cambio,Media,El estado actual (como se hace hoy) y el estado deseado (como deberia ser),El estado financiero y el estado legal,El inicio y el fin del ano fiscal,El cliente interno y el cliente externo,,A
"En la Matriz de Impacto vs. Complejidad, los ""Quick Wins"" son las brechas de:",Modulo 6: Gestion del Cambio,Media,Alto impacto y facil solucion: prioridad numero 1,Bajo impacto y solucion compleja: prioridad numero 4,Bajo impacto y facil solucion: prioridad numero 3,Alto impacto y solucion compleja: prioridad numero 2,,A
"En la Matriz de Impacto vs. Complejidad, el cuadrante que conviene evitar es:",Modulo 6: Gestion del Cambio,Dificil,Thankless Tasks: bajo impacto y solucion compleja,Quick Wins: alto impacto y facil solucion,Big Goals: alto impacto y solucion compleja,Fill Ins: bajo impacto y facil solucion,,A
La gestion del cambio en las personas (Human Change Management) requiere principalmente:,Modulo 6: Gestion del Cambio,Media,Identificar Champions y aplicar el modelo ADKAR,Comprar nuevo software para toda la empresa,Aumentar el numero de auditorias sorpresa,Eliminar el comite de procesos,,A
"Segun el modulo, ¿que se debe buscar al elegir un Champion del cambio?",Modulo 6: Gestion del Cambio,Media,"Influencia, actitud abierta al cambio, disponibilidad y capacidad de comunicacion",Que sea la persona con mayor cargo jerarquico,Que sea el experto tecnico mas antiguo del area,Que tenga la menor carga de trabajo posible,,A
¿Que significan las siglas del modelo ADKAR?,Modulo 6: Gestion del Cambio,Dificil,"Awareness, Desire, Knowledge, Ability, Reinforcement","Analizar, Disenar, Knowledge, Auditar, Reportar","Adoptar, Decidir, Konectar, Aprender, Revisar","Alcance, Diseno, Calidad, Accion, Resultado",,A
"En el modelo ADKAR, la fase Awareness (Conciencia) busca que las personas:",Modulo 6: Gestion del Cambio,Media,Entiendan POR QUE es necesario cambiar,Tengan la habilidad practica de ejecutar el cambio,Sostengan el cambio en el tiempo,Aprueben el presupuesto del proyecto,,A
"En el modelo ADKAR, la fase Desire (Deseo) se enfoca en que la persona:",Modulo 6: Gestion del Cambio,Media,"QUIERA participar y apoyar el cambio, no que se sienta obligada",Conozca el detalle tecnico de cada herramienta,Audite el cumplimiento de los demas,Redacte la politica de procesos,,A
"En el modelo ADKAR, la fase Knowledge (Conocimiento) se trabaja con estrategias como:",Modulo 6: Gestion del Cambio,Media,"Talleres practicos, mentorias entre pares y microlearning",Sanciones a quienes no cumplen,Reduccion de presupuesto a las areas,Eliminacion de los indicadores de adopcion,,A
"En el modelo ADKAR, la fase Ability (Habilidad) consiste en lograr que la persona:",Modulo 6: Gestion del Cambio,Media,"PUEDA ejecutar el cambio en la practica, con acompanamiento y practica supervisada",Solo entienda la teoria del cambio,Apruebe formalmente la politica,Audite a las otras areas,,A
"En el modelo ADKAR, la fase Reinforcement (Refuerzo) busca:",Modulo 6: Gestion del Cambio,Media,Sostener el cambio en el tiempo mediante reconocimiento y metricas de adopcion,Generar la conciencia inicial sobre el cambio,Definir el alcance del proyecto,Contratar consultores externos,,A
"En la fase Desire del cambio, mostrar el ""WIIFM"" significa:",Modulo 6: Gestion del Cambio,Dificil,What is In It For Me: que cada persona vea como el cambio le beneficia a ella,Work In Internal Functional Model: un modelo funcional interno,When It IsFormally Mandatory: cuando es obligatorio,Without Implementing Formal Methods: sin metodos formales,,A
